country,year,gdp_usd,population,gdp_per_capita
Bahrain,2010,26805984042.5532,1228543,21819.3291098099
Bahrain,2011,29914680851.0638,1195020,25032.7867743333
Bahrain,2012,31963404255.3191,1208964,26438.6733230428
Bahrain,2013,33823324468.0851,1253191,26989.7601148469
Bahrain,2014,34772526595.7447,1314562,26451.7965647453
Bahrain,2015,32523297872.3404,1370322,23734.0551143019
Bahrain,2016,33884680851.0638,1423726,23800.001440631
Bahrain,2017,37204813829.7872,1501116,24784.7693514607
Bahrain,2018,39567978723.4043,1503091,26324.4066549559
Bahrain,2019,40446808510.6383,1483756,27259.7438599327
Bahrain,2020,35837632978.7234,1472204,24342.8444554718
Bahrain,2021,40840212765.9574,1504365,27147.8083882286
Bahrain,2022,46458191489.3617,1524693,30470.5219276023
Bahrain,2023,46192260638.2979,1577059,29290.1284215098
Bahrain,2024,47210732712.766,1588670,29717.1424605273
Bahrain,2025,48965725531.9149,1600366,30596.5794898885
Kuwait,2010,115416245241.742,2943372,39212.252220155
Kuwait,2011,154039231245.856,3132814,49169.6063813095
Kuwait,2012,174047662680.041,3337109,52155.2225833921
Kuwait,2013,174168116534.844,3507844,49651.0439275077
Kuwait,2014,162650450684.725,3665876,44368.7813457751
Kuwait,2015,114585555688.511,3834574,29882.2126495698
Kuwait,2016,109406674124.652,4004096,27323.6890735517
Kuwait,2017,120687539805.505,4154812,29047.6536135703
Kuwait,2018,138646316350.727,4323515,32067.9623756889
Kuwait,2019,140856394860.529,4442316,31707.8737443551
Kuwait,2020,111045470605.715,4400267,25236.0755848941
Kuwait,2021,148350671489.144,4360865,34018.6342592913
Kuwait,2022,183502046693.878,4589643,39981.7691035833
Kuwait,2023,165462656226.772,4853420,34091.9714813002
Kuwait,2024,160903106639.233,4897263,32855.7209688827
Kuwait,2025,157209026926.418,4865298,32312.3119953634
Oman,2010,64993498049.4148,2757446,23570.1798147325
Oman,2011,77497529258.7776,3076763,25188.0074151885
Oman,2012,87408842652.7958,3547106,24642.2978768596
Oman,2013,89936020806.2419,3833913,23458.0233840053
Oman,2014,92699089726.9181,4002439,23160.6502252547
Oman,2015,78710793237.9714,4184895,18808.3077921839
Oman,2016,75128738621.5865,4390877,17110.1897460545
Oman,2017,80856697009.1027,4537396,17820.0661809335
Oman,2018,91505851755.5267,4597877,19901.7615642016
Oman,2019,88060858257.4772,4591241,19180.1864152801
Oman,2020,75909492847.8544,4522497,16784.8630630058
Oman,2021,87323797139.1417,4500424,19403.4600160211
Oman,2022,109852795838.752,4730226,23223.5829405935
Oman,2023,106174707932.38,5049269,21027.7384572657
Oman,2024,107137198699.61,5281538,20285.2272765262
Oman,2025,109604780696.23,5494691,19947.3966227092
Qatar,2010,125122252747.253,1616832,77387.2936379616
Qatar,2011,167775274725.275,1624761,103261.510293068
Qatar,2012,186833502362.637,1722438,108470.378825036
Qatar,2013,198727642967.033,1916426,103697.008372373
Qatar,2014,206224598571.429,2151745,95840.6310094498
Qatar,2015,161739955576.923,2344557,68985.2946961507
Qatar,2016,151732181868.132,2477113,61253.6375482797
Qatar,2017,161099122225.275,2545820,63279.8556949332
Qatar,2018,183334953818.681,2580734,71039.8490579352
Qatar,2019,176371267692.308,2638657,66841.3013484919
Qatar,2020,144411363351.648,2794148,51683.5054376677
Qatar,2021,179732009560.44,2504910,71751.8831257169
Qatar,2022,235709325714.286,2657333,88701.463352273
Qatar,2023,213002809340.659,2656032,80195.8746508549
Qatar,2024,216294505494.505,2857822,75685.0865779973
Qatar,2025,215559615384.615,2972215,72524.9066385222
Saudi Arabia,2010,528207466666.667,23978487,22028.3901426586
Saudi Arabia,2011,680660800000.0,25091867,27126.7498747702
Saudi Arabia,2012,751921333333.333,26168861,28733.4375513452
Saudi Arabia,2013,769755733333.333,27624004,27865.465604962
Saudi Arabia,2014,787153066666.667,28309273,27805.4850319422
Saudi Arabia,2015,693414400000.0,29816382,23256.1549553531
Saudi Arabia,2016,689279466666.667,30954198,22267.7217050387
Saudi Arabia,2017,741266133333.333,30977355,23929.2907135982
Saudi Arabia,2018,886564800000.0,30196281,29360.0658968566
Saudi Arabia,2019,888890133333.333,30063799,29566.7933827436
Saudi Arabia,2020,767951200000.0,31552510,24338.8307301067
Saudi Arabia,2021,982661066666.667,30784383,31920.7653655643
Saudi Arabia,2022,1239075200000.0,32175224,38510.2276211037
Saudi Arabia,2023,1218584800000.0,33702731,36156.8562500172
Saudi Arabia,2024,1254140800000.0,35300280,35527.786181866
Saudi Arabia,2025,1276942933333.33,36973555,34536.6555456551
UAE,2010,307736348527.33,6869838,44795.2846234991
UAE,2011,368881033962.57,7104538,51921.8890746408
UAE,2012,392793559050.783,7391448,53141.6251661086
UAE,2013,409632574702.715,7693031,53247.2278745159
UAE,2014,424935834104.193,8059440,52725.2307981936
UAE,2015,381973135513.065,8505237,44910.3458860776
UAE,2016,381717208620.964,8935095,42721.1136110991
UAE,2017,403365056078.846,9223225,43733.6242018215
UAE,2018,440560003161.236,9346701,47135.3478795605
UAE,2019,433926218686.108,9445785,45938.6084572227
UAE,2020,357161776271.328,9401038,37991.738387966
UAE,2021,422441282436.237,9575152,44118.4936214315
UAE,2022,511403404642.173,10074977,50759.7590190204
UAE,2023,522622268401.125,10483751,49850.6945082084
UAE,2024,552324919095.872,10986400,50273.5126243239
UAE,2025,,11513149,
