line_of_business,2021,2022,2023,2024,2025
Fire,910.15,1171.77,1233.39,1697.28,1875.34
Marine & Aviation,399.59,495.39,603.35,631.06,614.99
Motor & Transportation,1288.26,1295.81,1602.88,2192.42,2743.61
Engineering Construction & Energy,674.42,877.51,903.2,1117.1,1166.53
Other,942.44,1009.38,1311.63,1521.72,1771.89
Reinsurance - Property & Liability,0.0,1.56,1.63,1.57,1.54
Total Property & Liability,4214.87,4851.43,5656.08,7161.14,8173.9
Total Health Insurance,5409.97,5920.21,7051.61,8527.64,9917.68
Group Life,226.71,248.58,277.82,305.4,394.35
Group Credit Life,258.0,225.58,152.81,171.63,196.2
Individual Life,1928.72,1579.22,1383.04,1552.09,1688.84
Annuities & Fund Accumulation,28.99,39.91,13.11,11.37,7.67
Total Life,2442.42,2093.29,1826.77,2040.5,2287.06
Total All Lines,12067.26,12864.93,14534.47,17729.28,20378.65
