line_of_business,2021,2022,2023,2024,2025
Fire,3342.522,4303.331,4529.643,6233.255,6887.188
Marine & Aviation,1467.499,1819.333,2215.793,2317.571,2258.554
Motor & Transportation,4731.141,4758.861,5886.563,8051.645,10075.906
Engineering Construction & Energy,2476.823,3222.672,3317.015,4102.537,4284.082
Other,3461.121,3706.961,4816.965,5588.521,6507.277
Reinsurance - Property & Liability,0,5.711,5.989,5.754,5.654
Total Property & Liability,15479.105,17816.869,20771.969,26299.283,30018.662
Total Health Insurance,19868.130,21741.970,25897.043,31317.757,36422.697
Group Life,832.607,912.909,1020.277,1121.586,1448.263
Group Credit Life,947.495,828.444,561.185,630.315,720.536
Individual Life,7083.233,5799.687,5079.221,5700.061,6202.275
Annuities & Fund Accumulation,106.459,146.567,48.147,41.767,28.154
Total Life,8969.794,7687.607,6708.831,7493.729,8399.228
Total All Lines,44317.029,47246.445,53377.843,65110.769,74840.586
